ts_code,name,keyword,forced,variant
603733.SH,仙鹤股份,仙鹤,False,strict
603269.SH,海鸥股份,海鸥,False,strict
603116.SH,红蜻蜓,蜻蜓,False,strict
603029.SH,天鹅股份,天鹅,False,strict
600775.SH,南京熊猫,熊猫,False,strict
300999.SZ,金龙鱼,金龙鱼,False,strict
300898.SZ,熊猫乳品,熊猫,False,strict
300783.SZ,三只松鼠,松鼠,False,strict
003011.SZ,海象新材,海象,False,strict
002084.SZ,海鸥住工,海鸥,False,strict
000572.SZ,海马汽车,海马,False,strict
601123.SH,马矿股份,马,False,extended
001257.SZ,盛龙股份,龙,False,extended
688721.SH,龙图光罩,龙,False,extended
688602.SH,康鹏科技,鹏,False,extended
688575.SH,亚辉龙,龙,False,extended
688486.SH,龙迅股份,龙,False,extended
688360.SH,德马科技,马,False,extended
688357.SH,建龙微纳,龙,False,extended
688295.SH,中复神鹰,鹰,False,extended
688170.SH,德龙激光,龙,False,extended
688078.SH,龙软科技,龙,False,extended
688077.SH,大地熊,熊,False,extended
688055.SH,龙腾光电,龙,False,extended
688047.SH,龙芯中科,龙,False,extended
605577.SH,龙版传媒,龙,False,extended
605499.SH,东鹏饮料,鹏,False,extended
605378.SH,野马电池,马,False,extended
605318.SH,法狮龙,龙,False,extended
605086.SH,龙高股份,龙,False,extended
605016.SH,百龙创园,龙,False,extended
603969.SH,银龙股份,龙,False,extended
603949.SH,雪龙集团,龙,False,extended
603906.SH,龙蟠科技,龙,False,extended
603877.SH,太平鸟,鸟,False,extended
603779.SH,威龙股份,龙,False,extended
603767.SH,中马传动,马,False,extended
603733.SH,仙鹤股份,仙鹤,False,extended
603686.SH,福龙马,龙,False,extended
603668.SH,天马科技,马,False,extended
603530.SH,神马电力,马,False,extended
603488.SH,展鹏科技,鹏,False,extended
603406.SH,天富龙,龙,False,extended
603380.SH,易德龙,龙,False,extended
603341.SH,龙旗科技,龙,False,extended
603332.SH,苏州龙杰,龙,False,extended
603269.SH,海鸥股份,海鸥,False,extended
603266.SH,天龙股份,龙,False,extended
603195.SH,公牛集团,牛,False,extended
603181.SH,皇马科技,马,False,extended
603178.SH,圣龙股份,龙,False,extended
603158.SH,腾龙股份,龙,False,extended
603130.SH,云中马,马,False,extended
603116.SH,红蜻蜓,蜻蜓,False,extended
603073.SH,彩蝶实业,蝶,False,extended
603051.SH,鹿山新材,鹿,False,extended
603029.SH,天鹅股份,天鹅,False,extended
603004.SH,鼎龙科技,龙,False,extended
601828.SH,美凯龙,龙,False,extended
601188.SH,龙江交通,龙,False,extended
601015.SH,陕西黑猫,猫,False,extended
600993.SH,马应龙,龙,False,extended
600853.SH,龙建股份,龙,False,extended
600810.SH,神马股份,马,False,extended
600775.SH,南京熊猫,熊猫,False,extended
600769.SH,祥龙电业,龙,False,extended
600722.SH,金牛化工,牛,False,extended
600686.SH,金龙汽车,龙,False,extended
