ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
000572.SZ,海马汽车,海马,False,0.0909090909090909,-0.022332506203474045,3.94,4.03,0,strict
002084.SZ,海鸥住工,海鸥,False,0.0909090909090909,-0.021739130434782483,5.4,5.52,0,strict
003011.SZ,海象新材,海象,False,0.0909090909090909,-0.019500000000000073,19.61,20.0,0,strict
300783.SZ,三只松鼠,松鼠,False,0.0909090909090909,-0.03938356164383561,16.83,17.52,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.0909090909090909,-0.04525758305247962,19.83,20.77,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.0909090909090909,-0.012724550898203568,26.38,26.72,0,strict
600775.SH,南京熊猫,熊猫,False,0.0909090909090909,0.006166495375128367,9.79,9.73,0,strict
603029.SH,天鹅股份,天鹅,False,0.0909090909090909,-0.028994082840236635,16.41,16.9,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.0909090909090909,-0.023961661341852847,6.11,6.26,0,strict
603269.SH,海鸥股份,海鸥,False,0.0909090909090909,-0.09363295880149813,24.2,26.7,0,strict
603733.SH,仙鹤股份,仙鹤,False,0.0909090909090909,-0.03870292887029292,18.38,19.12,0,strict
000050.SZ,深天马A,马,False,0.00625,0.0,6.45,6.45,0,extended
000572.SZ,海马汽车,海马,False,0.00625,-0.022332506203474045,3.94,4.03,0,extended
000593.SZ,德龙汇能,龙,False,0.00625,-0.03736162361623607,20.87,21.68,0,extended
000712.SZ,锦龙股份,龙,False,0.00625,-0.09498207885304666,10.1,11.16,0,extended
000735.SZ,罗牛山,牛,False,0.00625,-0.0383435582822087,6.27,6.52,0,extended
000766.SZ,通化金马,马,False,0.00625,0.0012476606363069909,16.05,16.03,0,extended
000863.SZ,三湘印象,象,False,0.00625,-0.017391304347826098,4.52,4.6,0,extended
000910.SZ,大亚圣象,象,False,0.00625,-0.033395176252319136,5.21,5.39,0,extended
000935.SZ,四川双马,马,False,0.00625,-0.03726415094339619,20.41,21.2,0,extended
000955.SZ,欣龙控股,龙,False,0.00625,-0.025943396226415283,4.13,4.24,0,extended
001283.SZ,豪鹏科技,鹏,False,0.00625,-0.016533986527862976,48.18,48.99,0,extended
001289.SZ,龙源电力,龙,False,0.00625,-0.00654450261780104,15.18,15.28,0,extended
001317.SZ,三羊马,马,False,0.00625,-0.03652343749999998,49.33,51.2,0,extended
001386.SZ,马可波罗,马,False,0.00625,-0.03467843631778067,15.31,15.86,0,extended
001979.SZ,招商蛇口,蛇,False,0.00625,-0.01744186046511642,6.76,6.88,0,extended
002029.SZ,七匹狼,狼,False,0.00625,-0.037339556592765444,8.25,8.57,0,extended
002043.SZ,兔宝宝,兔,False,0.00625,-0.00886524822695034,11.18,11.28,0,extended
002047.SZ,宝鹰股份,鹰,False,0.00625,-0.033802816901408406,3.43,3.55,0,extended
002068.SZ,黑猫股份,猫,False,0.00625,-0.060194174757281727,9.68,10.3,0,extended
002084.SZ,海鸥住工,海鸥,False,0.00625,-0.021739130434782483,5.4,5.52,0,extended
002154.SZ,报喜鸟,鸟,False,0.00625,-0.019607843137254943,4.0,4.08,0,extended
002210.SZ,飞马国际,马,False,0.00625,-0.01327433628318575,2.23,2.26,0,extended
002223.SZ,鱼跃医疗,鱼,False,0.00625,-0.0023612750885477762,25.35,25.41,0,extended
002276.SZ,万马股份,马,False,0.00625,-0.01079489695780178,10.08,10.19,0,extended
002298.SZ,中电鑫龙,龙,False,0.00625,0.03052503052503064,8.44,8.19,0,extended
002312.SZ,川发龙蟒,龙,False,0.00625,-0.04042553191489373,9.02,9.4,0,extended
002337.SZ,赛象科技,象,False,0.00625,-0.01906779661016944,4.63,4.72,0,extended
002356.SZ,鹏飞绿能,鹏,False,0.00625,-0.02430555555555558,2.81,2.88,0,extended
002395.SZ,双象股份,象,False,0.00625,-0.017857142857142794,12.65,12.88,0,extended
002442.SZ,龙星科技,龙,False,0.00625,-0.027726432532347633,5.26,5.41,0,extended
002457.SZ,青龙管业,龙,False,0.00625,-0.04012588512981907,12.2,12.71,0,extended
002490.SZ,山东墨龙,龙,False,0.00625,0.007751937984496138,7.8,7.74,0,extended
002536.SZ,飞龙股份,龙,False,0.00625,-0.007633587786259777,53.3,53.71,0,extended
002563.SZ,森马服饰,马,False,0.00625,-0.01923076923076905,5.61,5.72,0,extended
002601.SZ,龙佰集团,龙,False,0.00625,-0.0433656957928803,14.78,15.45,0,extended
002658.SZ,雪迪龙,龙,False,0.00625,-0.017060367454068137,7.49,7.62,0,extended
002671.SZ,龙泉股份,龙,False,0.00625,-0.009803921568627416,4.04,4.08,0,extended
002682.SZ,龙洲股份,龙,False,0.00625,-0.030360531309297722,5.11,5.27,0,extended
002748.SZ,世龙实业,龙,False,0.00625,-0.028271405492730328,12.03,12.38,0,extended
002783.SZ,凯龙股份,龙,False,0.00625,-0.02238805970149249,7.86,8.04,0,extended
002864.SZ,盘龙药业,龙,False,0.00625,-0.026066350710900466,20.55,21.1,0,extended
002882.SZ,金龙羽,龙,False,0.00625,-0.026809651474530738,21.78,22.38,0,extended
002931.SZ,锋龙股份,龙,False,0.00625,-0.029013079667063013,40.83,42.05,0,extended
002938.SZ,鹏鼎控股,鹏,False,0.00625,0.008709853021230396,92.65,91.85,0,extended
002959.SZ,小熊电器,熊,False,0.00625,-0.016536661466458602,31.52,32.05,0,extended
002960.SZ,青鸟智控,鸟,False,0.00625,-0.02166064981949456,8.13,8.31,0,extended
003011.SZ,海象新材,海象,False,0.00625,-0.019500000000000073,19.61,20.0,0,extended
003012.SZ,东鹏控股,鹏,False,0.00625,-0.02972399150743088,4.57,4.71,0,extended
003040.SZ,楚天龙,龙,False,0.00625,-0.07619047619047603,17.46,18.9,0,extended
300032.SZ,金龙机电,龙,False,0.00625,-0.010389610389610282,3.81,3.85,0,extended
300054.SZ,鼎龙股份,龙,False,0.00625,-0.010101010101009944,66.64,67.32,0,extended
300063.SZ,天龙集团,龙,False,0.00625,-0.0166481687014427,8.86,9.01,0,extended
300105.SZ,龙源技术,龙,False,0.00625,-0.020242914979757276,7.26,7.41,0,extended
300171.SZ,东富龙,龙,False,0.00625,-0.035285285285285406,12.85,13.32,0,extended
300350.SZ,华鹏飞,鹏,False,0.00625,-0.024390243902438935,4.4,4.51,0,extended
300375.SZ,鹏翎股份,鹏,False,0.00625,-0.021582733812949617,4.08,4.17,0,extended
300438.SZ,鹏辉能源,鹏,False,0.00625,-0.03275566558750709,50.79,52.51,0,extended
