ts_code,name,keyword,forced,variant
600873.SH,梅花生物,梅花,False,strict
600510.SH,黑牡丹,牡丹,False,strict
600186.SH,莲花控股,莲花,False,strict
600123.SH,兰花科创,兰花,False,strict
688488.SH,艾迪药业,艾迪,False,extended
605167.SH,利柏特,利柏,False,extended
603866.SH,桃李面包,桃李,False,extended
603823.SH,百合花,百合,False,extended
603737.SH,三棵树,三棵树,False,extended
603638.SH,艾迪精密,艾迪,False,extended
603615.SH,茶花股份,茶花,False,extended
603580.SH,艾艾精工,艾艾,False,extended
603313.SH,梦百合,百合,False,extended
603268.SH,松发股份,松发,False,extended
603102.SH,百合股份,百合,False,extended
601233.SH,桐昆股份,桐,False,extended
601003.SH,柳钢股份,柳钢,False,extended
600884.SH,杉杉股份,杉杉,False,extended
600873.SH,梅花生物,梅花,False,extended
600510.SH,黑牡丹,牡丹,False,extended
600493.SH,凤竹纺织,凤竹,False,extended
600425.SH,青松建化,青松,False,extended
600186.SH,莲花控股,莲花,False,extended
600123.SH,兰花科创,兰花,False,extended
301111.SZ,粤万年青,万年青,False,extended
300511.SZ,雪榕生物,榕,False,extended
300111.SZ,向日葵,向日葵,False,extended
002737.SZ,葵花药业,葵花,False,extended
002577.SZ,雷柏科技,雷柏,False,extended
002474.SZ,榕基软件,榕,False,extended
002058.SZ,紫竹高科,紫竹,False,extended
002050.SZ,三花智控,三花,False,extended
001300.SZ,三柏硕,三柏,False,extended
000812.SZ,陕西金叶,金叶,False,extended
000789.SZ,万年青,万年青,False,extended
000716.SZ,黑芝麻,黑芝麻,False,extended
000528.SZ,柳工,柳工,False,extended
