ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
600873.SH,梅花生物,梅花,False,0.2,0.006493506493506551,10.85,10.78,10.85,8.7818,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.018442622950819887,4.97,4.88,4.97,6.57,0,strict
600186.SH,莲花控股,莲花,False,0.2,0.02249134948096887,5.91,5.78,5.91,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.2,0.0015552099533437946,6.44,6.43,6.44,12.765,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,0.008368200836819994,2.41,2.39,2.41,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.029411764705882353,0.012630014858840966,13.63,13.46,13.63,1.002,0,extended
605167.SH,利柏特,利柏,False,0.029411764705882353,-0.005071851225697421,11.77,11.83,11.77,1.0296,0,extended
603866.SH,桃李面包,桃李,False,0.029411764705882353,0.005586592178770999,5.4,5.37,5.4,4.1484,0,extended
603823.SH,百合花,百合,False,0.029411764705882353,-0.0007380073800740128,13.54,13.55,13.54,2.0562,0,extended
603737.SH,三棵树,三棵树,False,0.029411764705882353,0.02249134948096887,35.46,34.68,35.46,7.3309,0,extended
603638.SH,艾迪精密,艾迪,False,0.029411764705882353,0.020624631703005436,17.32,16.97,17.32,4.6967,0,extended
603615.SH,茶花股份,茶花,False,0.029411764705882353,0.008675799086758085,22.09,21.9,22.09,1.155,0,extended
603313.SH,梦百合,百合,False,0.029411764705882353,0.01939393939393952,8.41,8.25,8.41,1.8209,0,extended
603102.SH,百合股份,百合,False,0.029411764705882353,0.026315789473684292,42.9,41.8,42.9,1.05,0,extended
601233.SH,桐昆股份,桐,False,0.029411764705882353,0.01614434947768273,10.7,10.53,10.7,3.1856,0,extended
601003.SH,柳钢股份,柳钢,False,0.029411764705882353,-0.014005602240896309,3.52,3.57,3.52,5.564,0,extended
600884.SH,杉杉股份,杉杉,False,0.029411764705882353,0.04065934065934074,9.47,9.1,9.47,28.93,0,extended
600873.SH,梅花生物,梅花,False,0.029411764705882353,0.006493506493506551,10.85,10.78,10.85,8.7818,0,extended
600510.SH,黑牡丹,牡丹,False,0.029411764705882353,0.018442622950819887,4.97,4.88,4.97,6.57,0,extended
600493.SH,凤竹纺织,凤竹,False,0.029411764705882353,0.003225806451612856,6.22,6.2,6.22,2.7273,0,extended
600425.SH,青松建化,青松,False,0.029411764705882353,0.013850415512465464,3.66,3.61,3.66,6.6072,0,extended
600423.SH,柳化股份,柳化,False,0.029411764705882353,-0.014619883040935644,3.37,3.42,3.37,3.636,0,extended
600186.SH,莲花控股,莲花,False,0.029411764705882353,0.02249134948096887,5.91,5.78,5.91,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.029411764705882353,0.0015552099533437946,6.44,6.43,6.44,12.765,0,extended
600080.SH,金花股份,金花,False,0.029411764705882353,0.01734104046242768,7.04,6.92,7.04,5.2472,0,extended
301111.SZ,粤万年青,万年青,False,0.029411764705882353,0.02622950819672143,15.65,15.25,15.65,1.0203,0,extended
300511.SZ,雪榕生物,榕,False,0.029411764705882353,0.004054054054053902,7.43,7.4,7.43,3.0,0,extended
300132.SZ,青松股份,青松,False,0.029411764705882353,0.013355592654424209,6.07,5.99,6.07,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.029411764705882353,-0.0030211480362538623,3.3,3.31,3.3,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.029411764705882353,0.012321660181582317,15.61,15.42,15.61,5.552,0,extended
002577.SZ,雷柏科技,雷柏,False,0.029411764705882353,0.027805362462760552,20.7,20.14,20.7,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.029411764705882353,0.02499999999999991,6.97,6.8,6.97,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.029411764705882353,0.008368200836819994,2.41,2.39,2.41,9.844,0,extended
002050.SZ,三花智控,三花,False,0.029411764705882353,0.048979591836734615,25.7,24.5,25.7,15.3956,0,extended
001300.SZ,三柏硕,三柏,False,0.029411764705882353,0.01718983557548559,13.61,13.38,13.61,1.005,0,extended
000812.SZ,陕西金叶,金叶,False,0.029411764705882353,0.03881278538812771,4.55,4.38,4.55,7.4263,0,extended
000789.SZ,万年青,万年青,False,0.029411764705882353,0.016885553470919135,5.42,5.33,5.42,6.941,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.029411764705882353,0.014925373134328401,6.12,6.03,6.12,3.8363,0,extended
000528.SZ,柳工,柳工,False,0.029411764705882353,0.02547770700636942,9.66,9.42,9.66,12.819,0,extended
